bioguideId,name,party,state,chamber,region,degree,weighted_degree,degree_centrality
M001245,"Menefee, Christian D.",Democrat,Texas,House of Representatives,Unknown,0,0,0.0
C001120,"Crenshaw, Dan",Republican,Texas,House of Representatives,Unknown,178,551,0.33147113594040967
L000566,"Latta, Robert E.",Republican,Ohio,House of Representatives,Unknown,159,343,0.29608938547486036
C001118,"Cline, Ben",Republican,Virginia,House of Representatives,Unknown,167,582,0.31098696461824954
C001059,"Costa, Jim",Democrat,California,House of Representatives,Unknown,113,113,0.21042830540037244
M001244,"Moody, Ashley",Republican,Florida,Senate,Unknown,0,0,0.0
W000812,"Wagner, Ann",Republican,Missouri,House of Representatives,Unknown,156,273,0.29050279329608936
R000619,"Rulli, Michael A.",Republican,Ohio,House of Representatives,Unknown,0,0,0.0
J000312,"Justice, James C.",Republican,West Virginia,Senate,Unknown,0,0,0.0
D000628,"Dunn, Neal P.",Republican,Florida,House of Representatives,Unknown,168,452,0.3128491620111732
N000147,"Norton, Eleanor Holmes",Democrat,District of Columbia,House of Representatives,Unknown,155,383,0.2886405959031657
D000216,"DeLauro, Rosa L.",Democrat,Connecticut,House of Representatives,Unknown,137,313,0.25512104283054005
W000187,"Waters, Maxine",Democrat,California,House of Representatives,Unknown,137,213,0.25512104283054005
P000197,"Pelosi, Nancy",Democrat,California,House of Representatives,Unknown,0,0,0.0
V000139,"Van Epps, Matt",Republican,Tennessee,House of Representatives,Unknown,0,0,0.0
G000606,"Grijalva, Adelita S.",Democrat,Arizona,House of Representatives,Unknown,0,0,0.0
C001087,"Crawford, Eric A. ""Rick""",Republican,Arkansas,House of Representatives,Unknown,166,394,0.3091247672253259
Y000064,"Young, Todd",Republican,Indiana,Senate,Unknown,21,21,0.03910614525139665
W000779,"Wyden, Ron",Democrat,Oregon,Senate,Unknown,38,106,0.07076350093109869
W000817,"Warren, Elizabeth",Democrat,Massachusetts,Senate,Unknown,39,115,0.07262569832402234
W000802,"Whitehouse, Sheldon",Democrat,Rhode Island,Senate,Unknown,41,138,0.07635009310986965
W000800,"Welch, Peter",Democrat,Vermont,Senate,Unknown,38,95,0.07076350093109869
W000437,"Wicker, Roger F.",Republican,Mississippi,Senate,Unknown,36,123,0.0670391061452514
W000790,"Warnock, Raphael G.",Democrat,Georgia,Senate,Unknown,42,102,0.0782122905027933
T000278,"Tuberville, Tommy",Republican,Alabama,Senate,Unknown,37,49,0.06890130353817504
W000805,"Warner, Mark R.",Democrat,Virginia,Senate,Unknown,38,82,0.07076350093109869
V000128,"Van Hollen, Chris",Democrat,Maryland,Senate,Unknown,41,123,0.07635009310986965
S001203,"Smith, Tina",Democrat,Minnesota,Senate,Unknown,42,113,0.0782122905027933
