source,target,weight
M000317,R000610,3
M000317,S001196,1
M000317,V000134,3
M000317,N000189,3
J000299,M000317,2
F000471,M000317,1
M000317,T000165,2
C001120,M000317,2
I000056,M000317,1
M000317,S001212,2
C000059,M000317,3
L000589,M000317,1
J000302,M000317,1
M000317,S000929,2
M000317,W000806,2
C001039,M000317,2
M000317,M001177,3
G000596,M000317,1
M000317,M001219,2
L000585,M000317,3
M000317,S000522,2
B001282,M000317,2
M000317,P000599,3
E000071,M000317,1
M000317,W000828,2
M000317,W000814,2
G000565,M000317,2
G000593,M000317,2
L000597,M000317,2
G000377,M000317,1
K000398,M000317,3
E000246,M000317,1
R000610,S001196,4
R000610,V000134,5
N000189,R000610,5
J000299,R000610,5
F000471,R000610,5
R000610,T000165,6
C001120,R000610,7
I000056,R000610,5
R000610,S001212,8
C000059,R000610,5
L000589,R000610,7
J000302,R000610,5
R000610,S000929,3
R000610,W000806,5
C001039,R000610,7
M001177,R000610,5
G000596,R000610,3
M001219,R000610,3
L000585,R000610,6
R000610,S000522,3
B001282,R000610,5
P000599,R000610,7
E000071,R000610,4
R000610,W000828,2
R000610,W000814,9
G000565,R000610,7
G000593,R000610,3
L000597,R000610,2
G000377,R000610,1
K000398,R000610,2
E000246,R000610,4
S001196,V000134,4
N000189,S001196,3
J000299,S001196,4
F000471,S001196,4
S001196,T000165,4
C001120,S001196,4
I000056,S001196,4
S001196,S001212,4
C000059,S001196,3
L000589,S001196,4
J000302,S001196,4
S000929,S001196,1
S001196,W000806,2
C001039,S001196,4
M001177,S001196,3
G000596,S001196,3
M001219,S001196,2
L000585,S001196,4
S000522,S001196,1
B001282,S001196,3
P000599,S001196,4
E000071,S001196,4
S001196,W000828,2
S001196,W000814,4
G000565,S001196,3
G000593,S001196,2
L000597,S001196,2
G000377,S001196,1
K000398,S001196,1
E000246,S001196,3
N000189,V000134,4
J000299,V000134,5
F000471,V000134,4
T000165,V000134,4
C001120,V000134,5
I000056,V000134,4
S001212,V000134,4
C000059,V000134,4
L000589,V000134,4
J000302,V000134,4
S000929,V000134,2
V000134,W000806,2
C001039,V000134,5
M001177,V000134,4
G000596,V000134,3
M001219,V000134,3
L000585,V000134,6
S000522,V000134,1
B001282,V000134,4
P000599,V000134,6
E000071,V000134,5
V000134,W000828,3
V000134,W000814,6
G000565,V000134,3
G000593,V000134,3
L000597,V000134,3
G000377,V000134,2
K000398,V000134,2
E000246,V000134,3
J000299,N000189,5
F000471,N000189,4
N000189,T000165,4
C001120,N000189,4
I000056,N000189,3
N000189,S001212,4
C000059,N000189,4
L000589,N000189,4
J000302,N000189,3
N000189,S000929,2
N000189,W000806,4
C001039,N000189,3
M001177,N000189,3
G000596,N000189,2
M001219,N000189,3
L000585,N000189,5
N000189,S000522,1
B001282,N000189,4
N000189,P000599,5
E000071,N000189,3
N000189,W000828,2
N000189,W000814,4
G000565,N000189,5
G000593,N000189,3
L000597,N000189,2
G000377,N000189,1
K000398,N000189,3
E000246,N000189,4
F000471,J000299,5
J000299,T000165,4
C001120,J000299,4
I000056,J000299,4
J000299,S001212,4
C000059,J000299,3
J000299,L000589,6
J000299,J000302,5
J000299,S000929,2
J000299,W000806,3
C001039,J000299,4
J000299,M001177,4
G000596,J000299,4
J000299,M001219,2
J000299,L000585,6
J000299,S000522,1
B001282,J000299,4
J000299,P000599,7
E000071,J000299,4
J000299,W000828,2
J000299,W000814,5
G000565,J000299,5
G000593,J000299,3
J000299,L000597,2
G000377,J000299,1
J000299,K000398,3
E000246,J000299,4
F000471,T000165,5
C001120,F000471,5
F000471,I000056,4
F000471,S001212,4
C000059,F000471,3
F000471,L000589,6
F000471,J000302,5
F000471,S000929,2
F000471,W000806,4
C001039,F000471,5
F000471,M001177,3
F000471,G000596,3
F000471,M001219,2
F000471,L000585,6
F000471,S000522,2
B001282,F000471,3
F000471,P000599,6
E000071,F000471,4
F000471,W000828,2
F000471,W000814,5
F000471,G000565,5
F000471,G000593,2
F000471,L000597,2
F000471,G000377,1
F000471,K000398,2
E000246,F000471,4
C001120,T000165,6
I000056,T000165,4
S001212,T000165,5
C000059,T000165,5
L000589,T000165,6
J000302,T000165,5
S000929,T000165,2
T000165,W000806,4
C001039,T000165,5
M001177,T000165,4
G000596,T000165,3
M001219,T000165,3
L000585,T000165,5
S000522,T000165,2
B001282,T000165,4
P000599,T000165,6
E000071,T000165,4
T000165,W000828,2
T000165,W000814,5
G000565,T000165,6
G000593,T000165,2
L000597,T000165,2
G000377,T000165,1
K000398,T000165,1
E000246,T000165,3
C001120,I000056,4
C001120,S001212,6
