bioguideId,name,party,state,chamber,district,region
M001245,"Menefee, Christian D.",Democrat,Texas,House of Representatives,18.0,Unknown
C001120,"Crenshaw, Dan",Republican,Texas,House of Representatives,2.0,Unknown
L000566,"Latta, Robert E.",Republican,Ohio,House of Representatives,5.0,Unknown
C001118,"Cline, Ben",Republican,Virginia,House of Representatives,6.0,Unknown
C001059,"Costa, Jim",Democrat,California,House of Representatives,21.0,Unknown
M001244,"Moody, Ashley",Republican,Florida,Senate,,Unknown
W000812,"Wagner, Ann",Republican,Missouri,House of Representatives,2.0,Unknown
R000619,"Rulli, Michael A.",Republican,Ohio,House of Representatives,6.0,Unknown
J000312,"Justice, James C.",Republican,West Virginia,Senate,,Unknown
D000628,"Dunn, Neal P.",Republican,Florida,House of Representatives,2.0,Unknown
N000147,"Norton, Eleanor Holmes",Democrat,District of Columbia,House of Representatives,,Unknown
D000216,"DeLauro, Rosa L.",Democrat,Connecticut,House of Representatives,3.0,Unknown
W000187,"Waters, Maxine",Democrat,California,House of Representatives,43.0,Unknown
P000197,"Pelosi, Nancy",Democrat,California,House of Representatives,11.0,Unknown
V000139,"Van Epps, Matt",Republican,Tennessee,House of Representatives,7.0,Unknown
G000606,"Grijalva, Adelita S.",Democrat,Arizona,House of Representatives,7.0,Unknown
C001087,"Crawford, Eric A. ""Rick""",Republican,Arkansas,House of Representatives,1.0,Unknown
Y000064,"Young, Todd",Republican,Indiana,Senate,,Unknown
W000779,"Wyden, Ron",Democrat,Oregon,Senate,,Unknown
W000817,"Warren, Elizabeth",Democrat,Massachusetts,Senate,,Unknown
W000802,"Whitehouse, Sheldon",Democrat,Rhode Island,Senate,,Unknown
W000800,"Welch, Peter",Democrat,Vermont,Senate,,Unknown
W000437,"Wicker, Roger F.",Republican,Mississippi,Senate,,Unknown
W000790,"Warnock, Raphael G.",Democrat,Georgia,Senate,,Unknown
T000278,"Tuberville, Tommy",Republican,Alabama,Senate,,Unknown
W000805,"Warner, Mark R.",Democrat,Virginia,Senate,,Unknown
V000128,"Van Hollen, Chris",Democrat,Maryland,Senate,,Unknown
S001203,"Smith, Tina",Democrat,Minnesota,Senate,,Unknown
T000476,"Tillis, Thomas",Republican,North Carolina,Senate,,Unknown
S001198,"Sullivan, Dan",Republican,Alaska,Senate,,Unknown
T000250,"Thune, John",Republican,South Dakota,Senate,,Unknown
S001232,"Sheehy, Tim",Republican,Montana,Senate,,Unknown
S001217,"Scott, Rick",Republican,Florida,Senate,,Unknown
S001208,"Slotkin, Elissa",Democrat,Michigan,Senate,,Unknown
S001184,"Scott, Tim",Republican,South Carolina,Senate,,Unknown
S001181,"Shaheen, Jeanne",Democrat,New Hampshire,Senate,,Unknown
S001227,"Schmitt, Eric",Republican,Missouri,Senate,,Unknown
R000605,"Rounds, Mike",Republican,South Dakota,Senate,,Unknown
S001194,"Schatz, Brian",Democrat,Hawaii,Senate,,Unknown
S000148,"Schumer, Charles E.",Democrat,New York,Senate,,Unknown
S000033,"Sanders, Bernard",Independent,Vermont,Senate,,Unknown
S001150,"Schiff, Adam B.",Democrat,California,Senate,,Unknown
R000618,"Ricketts, Pete",Republican,Nebraska,Senate,,Unknown
R000608,"Rosen, Jacky",Democrat,Nevada,Senate,,Unknown
P000603,"Paul, Rand",Republican,Kentucky,Senate,,Unknown
P000595,"Peters, Gary C.",Democrat,Michigan,Senate,,Unknown
R000584,"Risch, James E.",Republican,Idaho,Senate,,Unknown
R000122,"Reed, Jack",Democrat,Rhode Island,Senate,,Unknown
P000145,"Padilla, Alex",Democrat,California,Senate,,Unknown
O000174,"Ossoff, Jon",Democrat,Georgia,Senate,,Unknown
M001190,"Mullin, Markwayne",Republican,Oklahoma,Senate,,Unknown
M001169,"Murphy, Christopher",Democrat,Connecticut,Senate,,Unknown
M001111,"Murray, Patty",Democrat,Washington,Senate,,Unknown
M001153,"Murkowski, Lisa",Republican,Alaska,Senate,,Unknown
M001243,"McCormick, David",Republican,Pennsylvania,Senate,,Unknown
M001242,"Moreno, Bernie",Republican,Ohio,Senate,,Unknown
M001176,"Merkley, Jeff",Democrat,Oregon,Senate,,Unknown
M000934,"Moran, Jerry",Republican,Kansas,Senate,,Unknown
M000355,"McConnell, Mitch",Republican,Kentucky,Senate,,Unknown
M001198,"Marshall, Roger",Republican,Kansas,Senate,,Unknown
K000367,"Klobuchar, Amy",Democrat,Minnesota,Senate,,Unknown
L000577,"Lee, Mike",Republican,Utah,Senate,,Unknown
L000575,"Lankford, James",Republican,Oklahoma,Senate,,Unknown
L000571,"Lummis, Cynthia M.",Republican,Wyoming,Senate,,Unknown
L000570,"Luján, Ben Ray",Democrat,New Mexico,Senate,,Unknown
M000133,"Markey, Edward J.",Democrat,Massachusetts,Senate,,Unknown
K000377,"Kelly, Mark",Democrat,Arizona,Senate,,Unknown
K000394,"Kim, Andy",Democrat,New Jersey,Senate,,Unknown
K000393,"Kennedy, John",Republican,Louisiana,Senate,,Unknown
K000383,"King, Angus S., Jr.",Independent,Maine,Senate,,Unknown
K000384,"Kaine, Tim",Democrat,Virginia,Senate,,Unknown
J000293,"Johnson, Ron",Republican,Wisconsin,Senate,,Unknown
H001104,"Husted, Jon",Republican,Ohio,Senate,,Unknown
H000273,"Hickenlooper, John W.",Democrat,Colorado,Senate,,Unknown
H001089,"Hawley, Josh",Republican,Missouri,Senate,,Unknown
H001079,"Hyde-Smith, Cindy",Republican,Mississippi,Senate,,Unknown
H001061,"Hoeven, John",Republican,North Dakota,Senate,,Unknown
H001042,"Hirono, Mazie K.",Democrat,Hawaii,Senate,,Unknown
H001046,"Heinrich, Martin",Democrat,New Mexico,Senate,,Unknown
H000601,"Hagerty, Bill",Republican,Tennessee,Senate,,Unknown
H001076,"Hassan, Margaret Wood",Democrat,New Hampshire,Senate,,Unknown
G000574,"Gallego, Ruben",Democrat,Arizona,Senate,,Unknown
G000555,"Gillibrand, Kirsten E.",Democrat,New York,Senate,,Unknown
G000386,"Grassley, Chuck",Republican,Iowa,Senate,,Unknown
G000359,"Graham, Lindsey",Republican,South Carolina,Senate,,Unknown
F000479,"Fetterman, John",Democrat,Pennsylvania,Senate,,Unknown
C001114,"Curtis, John R.",Republican,Utah,Senate,,Unknown
E000295,"Ernst, Joni",Republican,Iowa,Senate,,Unknown
F000463,"Fischer, Deb",Republican,Nebraska,Senate,,Unknown
C001098,"Cruz, Ted",Republican,Texas,Senate,,Unknown
D000618,"Daines, Steve",Republican,Montana,Senate,,Unknown
D000622,"Duckworth, Tammy",Democrat,Illinois,Senate,,Unknown
D000563,"Durbin, Richard J.",Democrat,Illinois,Senate,,Unknown
C001113,"Cortez Masto, Catherine",Democrat,Nevada,Senate,,Unknown
C001096,"Cramer, Kevin",Republican,North Dakota,Senate,,Unknown
C001095,"Cotton, Tom",Republican,Arkansas,Senate,,Unknown
C001088,"Coons, Christopher A.",Democrat,Delaware,Senate,,Unknown
C001035,"Collins, Susan M.",Republican,Maine,Senate,,Unknown
C001056,"Cornyn, John",Republican,Texas,Senate,,Unknown
C000880,"Crapo, Mike",Republican,Idaho,Senate,,Unknown
B001319,"Britt, Katie Boyd",Republican,Alabama,Senate,,Unknown
B001305,"Budd, Ted",Republican,North Carolina,Senate,,Unknown
B001288,"Booker, Cory A.",Democrat,New Jersey,Senate,,Unknown
C001075,"Cassidy, Bill",Republican,Louisiana,Senate,,Unknown
B001236,"Boozman, John",Republican,Arkansas,Senate,,Unknown
C001047,"Capito, Shelley Moore",Republican,West Virginia,Senate,,Unknown
C000127,"Cantwell, Maria",Democrat,Washington,Senate,,Unknown
B001299,"Banks, Jim",Republican,Indiana,Senate,,Unknown
B001303,"Blunt Rochester, Lisa",Democrat,Delaware,Senate,,Unknown
B001277,"Blumenthal, Richard",Democrat,Connecticut,Senate,,Unknown
B001261,"Barrasso, John",Republican,Wyoming,Senate,,Unknown
B001267,"Bennet, Michael F.",Democrat,Colorado,Senate,,Unknown
B001230,"Baldwin, Tammy",Democrat,Wisconsin,Senate,,Unknown
B001243,"Blackburn, Marsha",Republican,Tennessee,Senate,,Unknown
A000382,"Alsobrooks, Angela D.",Democrat,Maryland,Senate,,Unknown
W000830,"Whitesides, George",Democrat,California,House of Representatives,27.0,Unknown
F000484,"Fine, Randy",Republican,Florida,House of Representatives,6.0,Unknown
P000622,"Patronis, Jimmy",Republican,Florida,House of Representatives,1.0,Unknown
V000138,"Vindman, Eugene Simon",Democrat,Virginia,House of Representatives,7.0,Unknown
T000490,"Taylor, David J.",Republican,Ohio,House of Representatives,2.0,Unknown
S001230,"Subramanyam, Suhas",Democrat,Virginia,House of Representatives,10.0,Unknown
S001229,"Shreve, Jefferson",Republican,Indiana,House of Representatives,6.0,Unknown
S001228,"Schmidt, Derek",Republican,Kansas,House of Representatives,2.0,Unknown
R000622,"Riley, Josh",Democrat,New York,House of Representatives,19.0,Unknown
P000621,"Pou, Nellie",Democrat,New Jersey,House of Representatives,9.0,Unknown
O000176,"Olszewski, Johnny",Democrat,Maryland,House of Representatives,2.0,Unknown
M001240,"McDowell, Addison P.",Republican,North Carolina,House of Representatives,6.0,Unknown
M001239,"McGuire, John J.",Republican,Virginia,House of Representatives,5.0,Unknown
M001237,"McDonald Rivet, Kristen",Democrat,Michigan,House of Representatives,8.0,Unknown
M001236,"Moore, Tim",Republican,North Carolina,House of Representatives,14.0,Unknown
M001235,"Moore, Riley M.",Republican,West Virginia,House of Representatives,2.0,Unknown
M001233,"Messmer, Mark B.",Republican,Indiana,House of Representatives,8.0,Unknown
M001232,"McClain Delaney, April",Democrat,Maryland,House of Representatives,6.0,Unknown
M001231,"Mannion, John W.",Democrat,New York,House of Representatives,22.0,Unknown
M001230,"Mackenzie, Ryan",Republican,Pennsylvania,House of Representatives,7.0,Unknown
L000606,"Latimer, George",Democrat,New York,House of Representatives,16.0,Unknown
K000405,"Knott, Brad",Republican,North Carolina,House of Representatives,13.0,Unknown
K000403,"Kennedy, Mike",Republican,Utah,House of Representatives,3.0,Unknown
J000310,"Johnson, Julie",Democrat,Texas,House of Representatives,32.0,Unknown
H001103,"Hernández, Pablo Jose",Democrat,Puerto Rico,House of Representatives,,Unknown
H001102,"Harris, Mark",Republican,North Carolina,House of Representatives,8.0,Unknown
H001101,"Harrigan, Pat",Republican,North Carolina,House of Representatives,10.0,Unknown
G000604,"Goodlander, Maggie",Democrat,New Hampshire,House of Representatives,2.0,Unknown
G000603,"Gill, Brandon",Republican,Texas,House of Representatives,26.0,Unknown
G000602,"Gillen, Laura",Democrat,New York,House of Representatives,4.0,Unknown
G000601,"Goldman, Craig A.",Republican,Texas,House of Representatives,12.0,Unknown
F000483,"Friedman, Laura",Democrat,California,House of Representatives,30.0,Unknown
F000482,"Fedorchak, Julie",Republican,North Dakota,House of Representatives,,Unknown
E000301,"Elfreth, Sarah",Democrat,Maryland,House of Representatives,3.0,Unknown
D000635,"Dexter, Maxine",Democrat,Oregon,House of Representatives,3.0,Unknown
D000634,"Downing, Troy",Republican,Montana,House of Representatives,2.0,Unknown
C001136,"Conaway, Herbert C.",Democrat,New Jersey,House of Representatives,3.0,Unknown
B001327,"Bresnahan, Robert P.",Republican,Pennsylvania,House of Representatives,8.0,Unknown
B001326,"Bynum, Janelle S.",Democrat,Oregon,House of Representatives,5.0,Unknown
B001325,"Biggs, Sheri",Republican,South Carolina,House of Representatives,3.0,Unknown
B001322,"Baumgartner, Michael",Republican,Washington,House of Representatives,5.0,Unknown
B001321,"Barrett, Tom",Republican,Michigan,House of Representatives,7.0,Unknown
M001218,"McCormick, Richard",Republican,Georgia,House of Representatives,7.0,Unknown
S001188,"Stutzman, Marlin A.",Republican,Indiana,House of Representatives,3.0,Unknown
F000110,"Fields, Cleo",Democrat,Louisiana,House of Representatives,6.0,Unknown
O000177,"Onder, Robert F.",Republican,Missouri,House of Representatives,3.0,Unknown
M001238,"McBride, Sarah",Democrat,Delaware,House of Representatives,,Unknown
M001234,"Morrison, Kelly",Democrat,Minnesota,House of Representatives,3.0,Unknown
K000404,"King-Hinds, Kimberlyn",Republican,Northern Mariana Islands,House of Representatives,,Unknown
J000311,"Jack, Brian",Republican,Georgia,House of Representatives,3.0,Unknown
H001099,"Haridopolos, Mike",Republican,Florida,House of Representatives,8.0,Unknown
F000481,"Figures, Shomari",Democrat,Alabama,House of Representatives,2.0,Unknown
